	Hip	V	RA (deg)	Dec (deg)	Par(mas)	B-V	M_V	Sp
 	8070	8.42	25.92186046	63.82481469	74.45	7.78	1.2	

 	8102	3.49	26.02136441	-15.93955597	274.17	5.68	0.73	

 	8109	7.27	26.05886914	54.88648394	22.38	4.02	0.6	

 	8159	6.27	26.23271918	20.08340568	30.71	3.71	0.72	

 	8233	6.38	26.50414338	-27.34872151	23.16	3.2	0.37	

 	8241	5.04	26.52557865	-53.52218065	17.54	1.26	0.03	

 	8275	8.91	26.66124423	12.41195514	43.37	7.1	1.04	

 	8346	8.98	26.91014516	-26.74935383	25.79	6.04	0.8	

 	8362	5.63	26.9336011	63.85310111	100.24	5.64	0.8	

 	8366	6.05	26.94453905	-80.17616913	16.13	2.09	0.34	

 	8370	6.33	26.95001171	46.2298846	17.15	2.5	0.46	

 	8398	7.13	27.08442078	-41.49543661	22.16	3.86	0.64	

 	8433	5.78	27.17366149	32.68948705	36.65	3.6	0.57	

 	8497	4.66	27.39662961	-10.68618074	42.35	2.79	0.33	

 	8498	7.93	27.39800556	-46.76892974	20.46	4.48	0.66	

 	8543	8.06	27.5329329	29.46472971	37.33	5.92	0.76	

 	8548	7.07	27.56381549	-6.70418331	23.26	3.9	0.57	

 	8588	5.92	27.71672491	11.0434459	23.46	2.77	0.3	

