	Hip	V	RA (deg)	Dec (deg)	Par(mas)	B-V	M_V	Sp
 	2426	10.63	7.72954364	73.3704711	36.36	8.43	1.36	

 	2453	7.37	7.80170012	69.78543643	23.95	4.27	0.5	

 	2472	4.76	7.85356695	-48.80356171	18.97	1.15	0.02	

 	2484	4.36	7.88566992	-62.95808549	23.35	1.2	-0.06	

 	2540	9.65	8.06139856	-63.09101331	38.85	7.6	1.37	

 	2578	5.07	8.18247614	-63.03137868	21.52	1.73	0.04	

 	2710	6.9	8.61338867	-6.50369569	24.09	3.81	0.48	

 	2711	5.57	8.61506261	-52.37318294	39.03	3.53	0.47	

 	2712	7.38	8.62236013	47.91539661	21.2	4.01	0.55	

 	2729	9.56	8.7128823	-61.91601812	21.78	6.25	1.05	

 	2742	8.02	8.75416804	42.69495016	34.52	5.71	0.87	

 	2743	8.55	8.75687799	-63.6938281	34.04	6.21	0.85	

 	2787	5.94	8.88645754	-0.50545908	17.97	2.21	0.44	

 	2789	6.04	8.88881583	-54.82174811	12.88	1.59	1.0	

 	2790	7.45	8.89236491	-39.7458899	34.3	5.13	0.73	

 	2802	5.51	8.92139531	-48.00066027	27.61	2.72	0.46	

 	2832	6.32	8.97867189	13.20750244	26.59	3.44	0.52	

 	2841	6.91	9.00332958	-59.71719483	16.71	3.02	0.37	

 	2843	6.72	9.0071737	-5.57045671	21.19	3.35	0.47	

 	2847	7.77	9.0151309	7.15600861	19.45	4.21	0.56	

 	2848	8.4	9.01693123	-49.12780855	23.21	5.23	0.78	

 	2852	6.06	9.02876061	-22.84221094	20.12	2.58	0.3	

 	2888	6.79	9.15680392	-49.13200111	22.79	3.58	0.64	

 	2944	6.99	9.34217573	-37.28798048	22.29	3.73	0.72	

 	2981	7.53	9.48706616	47.40791719	20.92	4.13	0.46	

 	3006	7.11	9.56130273	84.67502086	24.8	4.08	0.55	

 	3008	10.48	9.56400804	52.33242473	43.4	8.67	1.42	

 	3010	7.43	9.5752004	-73.96249617	16.35	3.5	0.48	

 	3031	4.34	9.63958024	29.312369	19.34	0.77	0.87	

 	3053	7.74	9.69033976	-85.41237038	26.42	4.85	0.75	

 	3086	7.34	9.80336453	3.13320203	21.79	4.03	0.63	

 	3093	5.88	9.84206107	21.2513739	90.03	5.65	0.85	

 	3119	7.43	9.91921008	11.53230972	20.14	3.95	0.54	

 	3132	6.38	9.94897859	82.4935747	30.95	3.83	0.55	

 	3142	6.68	9.98996521	-33.96118617	24.12	3.59	0.52	

 	3170	5.89	10.10273354	-59.45568115	39.26	3.86	0.56	

 	3179	2.24	10.12661349	56.53740928	14.27	-1.99	1.17	

 	3185	6.14	10.13501584	-23.80399309	35.02	3.86	0.72	

 	3206	7.36	10.20415817	40.18879925	57.9	6.17	0.94	

 	3210	7.37	10.21444826	-53.20980159	21.91	4.07	0.54	

 	3214	7.6	10.21930456	31.11650674	17.45	3.81	0.46	

 	3236	6.52	10.29977784	9.35530818	29.99	3.9	0.53	

 	3261	10.58	10.37798776	-33.62495401	50.29	9.09	1.43	

 	3267	6.95	10.39382484	65.86836175	20.99	3.56	0.58	

 	3277	5.72	10.44292464	-56.50145475	15.29	1.64	0.13	

 	3293	7.03	10.50597309	40.6884102	20.38	3.58	0.45	

 	3330	5.38	10.61790472	-65.46813002	24.59	2.33	0.52	

 	3352	5.99	10.67349903	-60.26268184	13.73	1.68	1.32	

 	3369	6.63	10.71149682	-9.92163939	24.48	3.57	0.53	

 	3391	7.88	10.80233084	-37.98235299	22.7	4.66	0.72	

 	3414	4.95	10.8670447	47.02463657	18.71	1.31	0.17	

 	3418	8.73	10.88750898	33.8454328	48.16	7.14	1.13	

 	3419	2.04	10.89678452	-17.9866841	34.04	-0.3	1.02	

 	3436	6.01	10.9587023	-12.01130744	18.76	2.38	1.11	

 	3470	8.28	11.08845455	-85.89152517	15.37	4.21	0.57	

 	3479	7.78	11.11019153	-26.51604473	30.58	5.21	0.66	

 	3497	6.55	11.16268466	-65.64771794	45.76	4.85	0.66	

 	3505	5.22	11.18515547	-22.00633247	35.92	3.0	0.35	

 	3509	6.9	11.19905823	67.15832122	21.8	3.59	0.49	

 	3521	5.94	11.23801546	-42.67632489	15.01	1.82	0.3	

 	3527	6.15	11.24883557	-53.71490037	22.09	2.87	0.52	

 	3533	7.19	11.26559075	75.93802855	26.87	4.34	0.76	

 	3535	8.03	11.2705124	1.78691411	45.43	6.32	0.98	

 	3540	7.01	11.29502236	0.25340728	24.27	3.94	0.54	

 	3559	6.15	11.36961318	-12.88030968	31.39	3.63	0.6	

 	3572	5.64	11.4129637	74.9881262	11.24	0.89	0.08	

 	3583	5.8	11.43930832	-47.55217573	66.92	4.93	0.64	

 	3641	6.39	11.65929285	69.32537127	24.65	3.35	0.42	

 	3693	4.08	11.83495908	24.26737703	17.98	0.35	1.1	

 	3704	7.85	11.87869685	-36.93934176	19.99	4.35	0.54	

 	3730	6.51	11.97803517	20.92531069	17.41	2.71	0.52	

 	3765	5.74	12.09388786	5.28338873	134.04	6.38	0.89	

 	3810	5.07	12.2446238	16.9411337	41.8	3.18	0.5	

 	3813	10.76	12.25615885	-50.14439383	46.32	9.09	1.43	

 	3832	7.56	12.29936838	-53.7740789	19.48	4.01	0.51	

 	3850	7.15	12.36015525	-23.21277388	53.09	5.78	0.77	

 	3876	7.75	12.44099553	70.44899713	46.47	6.09	0.9	

 	3879	9.5	12.45094373	-54.59336435	35.95	7.28	1.16	

 	3909	5.17	12.53218487	-10.64377045	64.69	4.22	0.51	

 	3911	7.94	12.53815505	-83.7439717	16.94	4.08	0.52	

 	3924	7.98	12.60079553	-64.06781229	18.41	4.31	0.56	

 	3949	5.24	12.67136689	-50.98692422	13.06	0.82	0.36	

 	3961	6.86	12.71847773	-71.15152645	25.74	3.91	0.45	

 	3965	6.38	12.73860936	51.50803371	15.0	2.26	0.31	

 	3979	6.98	12.79456039	-5.03898875	45.27	5.26	0.66	

 	3998	9.22	12.84050486	18.7399011	45.71	7.52	1.19	

 	4005	7.28	12.85403677	32.65728762	18.78	3.65	0.56	

 	4012	10.66	12.86707054	58.3010422	54.23	9.33	1.36	

 	4022	8.95	12.89013153	-22.90939545	65.81	8.04	1.29	

 	4041	8.45	12.95657932	78.62577543	24.87	5.43	0.78	

 	4103	8.36	13.16671383	31.45946741	25.86	5.42	0.71	

 	4127	6.76	13.215928	40.24544245	23.82	3.64	0.59	

 	4144	7.76	13.24718195	39.04300372	19.44	4.2	0.58	

 	4148	7.15	13.25298157	-30.35699137	71.01	6.41	0.94	

 	4151	4.8	13.26783051	61.12355735	53.85	3.46	0.54	

 	4290	7.41	13.74745006	24.10070725	33.92	5.06	0.65	

 	4291	6.68	13.74796307	-74.30263442	20.41	3.23	0.99	

 	4293	5.45	13.75124739	-69.52697888	15.52	1.4	1.1	

 	4393	7.53	14.0715564	52.49123259	24.39	4.47	0.67	

 	4422	4.62	14.16671042	59.18116582	15.84	0.62	0.96	

 	4454	9.12	14.26352093	69.04402238	41.45	7.21	1.02	

 	4473	9.5	14.32691388	-62.24590709	51.66	8.07	1.3	

 	4552	5.99	14.55914315	33.95105921	17.19	2.17	1.0	

 	4569	11.77	14.61282693	-27.85630511	76.32	11.18	1.56	

 	4617	7.86	14.81053373	83.10292417	21.38	4.51	0.56	

 	4637	6.9	14.88446436	48.96641596	17.31	3.09	0.41	

 	4747	7.34	15.25731681	-4.64826368	24.76	4.31	0.55	

 	4772	6.91	15.32893461	-60.86038649	22.23	3.64	0.65	

 	4868	6.88	15.64821189	27.74793166	22.39	3.63	0.45	

 	4878	6.83	15.67751329	9.13301281	16.55	2.92	0.5	

 	4882	7.7	15.68345889	-47.28725845	20.35	4.24	0.59	

 	4890	5.39	15.7049656	-46.39733801	13.86	1.1	0.9	

 	4907	7.67	15.73689231	69.22742039	38.73	5.61	0.76	

 	4966	8.44	15.91466099	82.10089846	22.56	5.21	0.6	

 	4979	6.06	15.95398626	1.36694516	17.66	2.29	0.27	

 	5016	6.84	16.06973676	54.20439985	16.06	2.87	0.53	

 	5027	9.78	16.10072304	-25.60422804	38.99	7.73	1.19	

 	5031	9.15	16.11080178	-2.36626356	25.48	6.18	0.8	

 	5034	6.2	16.11487415	29.65909865	23.82	3.08	0.44	

 	5041	10.02	16.13435587	26.12014117	34.39	7.7	1.28	

 	5054	7.72	16.16782838	-39.48693482	24.8	4.69	0.61	

 	5081	5.64	16.27229777	14.94600386	18.28	1.95	0.42	

 	5099	7.18	16.34125379	-40.26995916	18.21	3.48	0.42	

 	5144	7.26	16.46423982	4.90971755	22.69	4.04	0.48	

 	5176	8.15	16.55221696	13.25278682	20.84	4.74	0.66	

 	5186	6.52	16.59452876	62.76146736	14.39	2.31	0.21	

 	5207	7.22	16.65204665	13.88470299	17.23	3.4	0.45	

 	5224	8.84	16.69573127	-50.98947181	33.98	6.5	0.93	

 	5247	9.0	16.77560068	63.94055066	66.46	8.11	1.29	

 	5268	5.36	16.82738598	-61.77526197	11.68	0.7	0.88	

 	5276	7.24	16.86936763	41.25901151	19.97	3.74	0.54	

 	5280	7.01	16.88291179	-41.74654669	29.65	4.37	0.57	

 	5286	8.41	16.90753784	22.95617138	48.2	6.83	1.12	

 	5296	5.71	16.94216802	-9.78559168	20.97	2.32	0.45	

 	5315	6.44	16.99825172	1.99409389	21.53	3.11	0.85	

 	5317	5.04	17.00299391	43.94224107	16.61	1.14	0.11	

 	5319	6.23	17.00501793	32.01219214	23.87	3.12	0.4	

 	5335	7.61	17.05096881	21.97712274	30.84	5.06	0.71	

 	5364	3.46	17.14693197	-10.181928	27.73	0.67	1.16	

 	5369	10.56	17.1683127	17.24402032	35.99	8.34	1.26	

 	5372	4.24	17.18399735	86.25711803	10.43	-0.67	1.21	

 	5373	8.63	17.19028697	-25.86120192	28.33	5.89	0.84	

 	5447	2.07	17.43248991	35.62083048	16.36	-1.86	1.58	

 	5462	8.8	17.48587624	-64.35923278	20.21	5.33	0.67	

 	5493	5.67	17.57852966	42.08157668	18.98	2.06	0.6	

 	5521	7.66	17.67511529	42.93231721	37.34	5.52	0.73	

 	5529	8.06	17.6960883	-66.18786313	27.87	5.29	0.85	

 	5534	7.23	17.72594414	9.56332494	25.25	4.24	0.57	

 	5542	4.34	17.77471116	55.14994765	23.73	1.22	0.17	

 	5578	7.48	17.88374424	-12.84291544	24.65	4.44	0.59	

 	5586	4.51	17.91494471	30.08972962	20.11	1.03	1.09	

 	5623	7.17	18.04322839	-73.90714356	16.15	3.21	0.59	

 	5626	5.6	18.06878934	79.67397492	11.98	0.99	0.01	

 	5631	6.89	18.08000516	12.28194637	29.64	4.25	0.49	

 	5643	12.1	18.12459256	-17.00053959	269.05	14.25	1.85	

 	5644	7.74	18.12423811	-9.22368841	22.01	4.45	0.69	

 	5646	6.55	18.1281165	2.47183263	19.17	2.96	0.45	

 	5647	8.71	18.13099835	0.98162503	31.12	6.18	0.93	

 	5663	9.55	18.19186846	-25.23562704	45.4	7.84	1.27	

 	5684	7.24	18.27426204	41.65439442	22.36	3.99	0.77	

 	5709	7.26	18.36002963	-39.54017516	18.95	3.65	0.42	

 	5745	8.47	18.45261156	-50.65538631	23.55	5.33	0.45	

 	5763	9.82	18.49524148	16.49465738	32.62	7.39	1.22	

 	5784	7.18	18.54367268	58.81244629	23.31	4.02	0.55	

 	5799	5.14	18.59986241	-7.9235004	41.01	3.2	0.45	

 	5806	7.5	18.62256714	-5.04704963	25.96	4.57	0.57	

 	5833	5.7	18.70491873	-0.97429411	22.79	2.49	0.43	

 	5862	4.97	18.79403213	-45.53209717	66.43	4.08	0.57	

 	5895	8.25	18.93728992	-53.71573852	20.84	4.84	0.65	

 	5913	7.32	19.0186531	61.90758398	16.95	3.47	0.42	

 	5938	7.55	19.10048066	-12.09698844	37.71	5.43	0.75	

 	5943	6.91	19.12042232	-67.43109197	16.79	3.04	0.38	

 	5944	6.59	19.12226076	42.93949385	42.3	4.72	0.59	

 	5947	6.27	19.12932621	79.90986944	13.84	1.98	0.44	

 	5957	10.1	19.16283929	25.33172767	44.03	8.32	1.35	

 	5977	7.03	19.20972157	21.05204582	16.53	3.12	0.41	

 	5985	6.52	19.24522939	-2.278818	33.68	4.16	0.56	

 	6005	11.31	19.31392861	-35.71547383	60.61	10.22	1.51	

 	6022	7.88	19.34459814	-5.63250837	20.42	4.43	0.56	

 	6130	8.0	19.67019999	-0.86695851	36.16	5.79	0.78	

 	6161	7.87	19.75570086	-77.03082906	13.64	3.54	0.56	

 	6177	8.69	19.81170328	-43.62925166	31.1	6.15	0.88	

 	6206	7.65	19.88915049	-39.36272349	25.59	4.69	0.62	

 	6221	7.07	19.93874208	-68.89849097	18.84	3.45	0.51	

 	6237	6.65	20.01238711	-9.88360181	20.54	3.21	0.41	

 	6276	8.43	20.13417401	-11.46736892	28.52	5.71	0.79	

 	6285	7.21	20.1543232	54.96255076	30.08	4.6	0.59	

 	6312	6.33	20.27160602	64.65818814	13.67	2.01	0.11	

 	6351	10.15	20.39010873	-41.65529478	59.29	9.01	1.38	

 	6369	6.94	20.45364903	-66.38411535	12.26	2.38	0.22	

 	6378	6.37	20.49558059	76.23888764	13.04	1.95	0.28	

 	6379	7.17	20.49667464	76.7103681	59.46	6.04	0.83	

 	6390	8.76	20.53188179	-26.89255267	32.13	6.29	0.97	

 	6405	6.96	20.57305873	18.68271329	39.07	4.92	0.63	

 	6411	4.87	20.58497087	45.5287566	16.68	0.98	1.08	

 	6414	10.3	20.595083	-33.21350931	37.1	8.15	1.29	

 	6439	7.16	20.679752	17.19699142	19.52	3.61	0.47	

 	6442	7.47	20.68129863	10.36977468	18.97	3.86	0.68	

 	6454	7.3	20.73625646	7.4186988	22.13	4.02	0.83	

 	6455	7.92	20.75399055	-16.48703344	27.0	5.08	0.66	

 	6456	7.85	20.75984242	-12.96600556	33.09	5.45	0.9	

 	6485	8.53	20.83814154	-57.48065865	20.29	5.07	0.7	

 	6486	6.36	20.83863463	58.14321418	17.34	2.56	0.46	

 	6494	8.37	20.85673686	-76.611732	20.73	4.95	0.66	

 	6511	7.7	20.90496208	-41.26963005	17.75	3.95	0.55	

 	6512	6.28	20.90546597	34.24560145	16.98	2.43	0.83	

 	6514	5.6	20.91898254	37.71499034	15.43	1.54	0.28	

 	6527	6.59	20.96176069	17.81844369	20.42	3.14	0.4	

 	6537	3.6	21.00604671	-8.18275372	28.48	0.87	1.06	

 	6551	6.85	21.05079037	-31.81177683	20.01	3.36	0.57	

 	6575	8.39	21.1160057	39.06213484	31.77	5.9	0.78	

 	6607	8.29	21.20414696	-27.83837476	24.75	5.26	0.68	

 	6613	8.49	21.22336474	18.50039482	30.24	5.89	0.91	

 	6639	9.48	21.29000636	-1.05897236	27.52	6.68	1.03	

 	6643	7.12	21.30145418	28.56707875	22.65	3.9	0.58	

 	6653	7.38	21.33361136	1.46100409	25.35	4.4	0.68	

 	6679	6.99	21.41935034	2.97208511	19.55	3.45	0.44	

 	6686	2.66	21.45251267	60.23540347	32.81	0.24	0.16	

 	6692	4.72	21.48293404	68.12994739	16.89	0.86	1.05	

 	6702	6.34	21.53590855	34.57990693	26.14	3.43	0.5	

 	6706	5.35	21.56366085	19.17232096	38.35	3.27	0.4	

 	6711	5.98	21.57749566	43.45788606	24.21	2.9	0.52	

 	6733	6.9	21.67921463	43.69197059	16.13	2.94	0.39	

 	6744	8.41	21.70511682	-29.47450648	24.51	5.36	0.72	

 	6748	5.51	21.71481835	-13.05653391	27.55	2.71	0.32	

 	6752	7.52	21.72422621	37.4924088	18.57	3.86	0.55	

 	6762	7.96	21.75571899	-0.15671666	33.59	5.59	0.74	

 	6776	6.27	21.7758949	34.37757818	23.45	3.12	0.45	

 	6794	6.42	21.86110539	41.10109784	17.91	2.69	0.31	

 	6795	9.14	21.86346004	-25.93656338	24.14	6.05	0.86	

 	6813	4.83	21.9128547	45.40695287	35.33	2.57	0.42	

 	6862	6.9	22.07964796	30.55784315	22.52	3.66	0.51	

 	6869	6.6	22.10121023	17.07934224	19.99	3.1	0.53	

 	6878	6.66	22.14299164	42.26792878	29.26	3.99	0.51	

 	6913	8.4	22.25518267	86.93306587	23.97	5.3	0.71	

 	6914	7.24	22.25693873	74.20533813	17.25	3.42	0.67	

 	6917	7.74	22.26920867	21.72361547	43.16	5.92	0.97	

 	6943	7.18	22.35975641	42.28205058	22.04	3.9	0.45	

 	6975	7.62	22.4528528	23.6905618	21.66	4.3	0.56	

 	6978	7.93	22.4633787	31.007333	23.4	4.78	0.71	

 	7018	9.41	22.6040915	-29.25940999	28.66	6.7	0.86	

